episode: 500, epsilon: 0.9700000000000255, average steps: 5.424, maximum length: 7, average length: 4.222, average reward: 0.14, average loss: 0.5673328243670099
episode: 1000, epsilon: 0.940000000000051, average steps: 5.858, maximum length: 7, average length: 4.212, average reward: 0.09, average loss: 0.8055090117816756
episode: 1500, epsilon: 0.9100000000000765, average steps: 5.808, maximum length: 8, average length: 4.232, average reward: 0.21, average loss: 0.8194491245447768
episode: 100, epsilon: 0.9940000000000051, average steps: 5.32, maximum length: 7, average length: 4.24, average reward: 0.27, average loss: None
episode: 200, epsilon: 0.9880000000000102, average steps: 5.62, maximum length: 6, average length: 4.15, average reward: -0.23, average loss: 5.981933059053201
episode: 300, epsilon: 0.9820000000000153, average steps: 5.47, maximum length: 8, average length: 4.21, average reward: 0.12, average loss: 0.34377795334997324
episode: 400, epsilon: 0.9760000000000204, average steps: 5.08, maximum length: 6, average length: 4.19, average reward: -0.04, average loss: 0.33302527677527205
episode: 500, epsilon: 0.9700000000000255, average steps: 5.34, maximum length: 5, average length: 4.24, average reward: 0.2, average loss: 0.33062735958938744
episode: 600, epsilon: 0.9640000000000306, average steps: 5.53, maximum length: 7, average length: 4.19, average reward: -0.01, average loss: 0.3606158306207053
episode: 700, epsilon: 0.9580000000000357, average steps: 5.11, maximum length: 6, average length: 4.18, average reward: -0.08, average loss: 0.3370083040056487
episode: 800, epsilon: 0.9520000000000408, average steps: 6.18, maximum length: 7, average length: 4.24, average reward: 0.25, average loss: 0.31969522029333536
episode: 900, epsilon: 0.9460000000000459, average steps: 5.59, maximum length: 6, average length: 4.22, average reward: 0.12, average loss: 0.3285676990067088
episode: 1000, epsilon: 0.940000000000051, average steps: 5.65, maximum length: 6, average length: 4.23, average reward: 0.17, average loss: 0.3459369332481184
episode: 1100, epsilon: 0.9340000000000561, average steps: 5.35, maximum length: 5, average length: 4.19, average reward: -0.05, average loss: 0.3534677227434556
episode: 1200, epsilon: 0.9280000000000612, average steps: 6.8, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.3316174290665431
episode: 1300, epsilon: 0.9220000000000663, average steps: 5.13, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.3192723016481038
